n_periods_jul,total_return_pct_jul,cagr_pct_jul,sharpe_jul,max_drawdown_pct_jul,win_rate_pct_jul,avg_period_ret_bps_jul,signal,n,direction,side,n_periods_aug,total_return_pct_aug,cagr_pct_aug,sharpe_aug,max_drawdown_pct_aug,win_rate_pct_aug,avg_period_ret_bps_aug,combo_sharpe
206,32.538231550784836,2963.7851536470594,4.380745329998366,-17.031419335124156,52.9126213592233,15.219737220951592,chg_24h,30,reversion,short_only,195,6.806415665744403,126.40736961881163,1.3967826443964257,-23.64462840762941,49.743589743589745,4.795875516774293,1.3967826443964257
206,4.025683499134947,61.52205574151899,1.144711625777662,-36.22653049638376,52.42718446601942,6.710928378631153,chg_open_1d,15,reversion,short_only,195,34.04828713776593,3695.7840057810586,3.527106613892201,-32.01196616652038,53.84615384615385,18.29551021800788,1.144711625777662
206,-5.613338097872966,-50.43187941216056,1.1001943180522884,-50.66025879036869,51.94174757281553,10.040416465479733,chg_24h,10,reversion,short_only,195,99.19418785613541,517504.26798809296,5.838733735609391,-41.67704781854932,53.84615384615385,41.54951647103796,1.1001943180522884
206,0.8644646130939959,11.023079186101747,0.8825711709063552,-34.91305588464036,56.310679611650485,5.652692893005504,chg_1w,10,momentum,short_only,195,4.606482816640334,74.87211321905683,1.0607474045557659,-26.841771617487066,51.7948717948718,4.2161327833026965,0.8825711709063552
206,-10.054439263122095,-72.39904695203232,0.6912729950385714,-51.98358680214701,53.398058252427184,5.849010398475672,chg_open_1d,10,reversion,short_only,195,44.034728740263176,9159.012491634358,3.608272556654849,-39.64060714822224,55.38461538461539,24.29103288715306,0.6912729950385714
206,12.094509864466406,300.28931634912857,1.7377036950927893,-24.290833069594385,52.42718446601942,8.725818645063793,chg_1w,15,momentum,short_only,195,0.3543612922978445,4.487598195325093,0.47617723736952056,-24.53332713070423,52.820512820512825,1.6760822967033695,0.47617723736952056
206,19.5545599121157,775.608863069351,3.2768869556898714,-9.996686344398775,51.94174757281553,9.787875717703242,chg_15m,30,reversion,short_only,195,0.1619709611236697,2.0287241745388984,0.3492733965367992,-17.102986215726567,45.64102564102564,0.924628102384844,0.3492733965367992
206,0.2829842504229241,3.4925777628803667,0.3478645416172884,-9.264353051122976,49.51456310679612,0.8021175638691673,chg_24h,30,reversion,long_short,195,4.3229111233491935,69.07931443009979,1.4452113293901785,-9.221898925451743,54.35897435897436,2.544001625405073,0.3478645416172884
206,-0.6851540571961467,-8.012933940897938,0.05191212768246427,-12.049812284443206,49.029126213592235,0.09659741935751558,chg_15m,30,reversion,long_short,195,1.203602033418294,16.00629231611732,0.5865475490045321,-8.260057396393272,48.205128205128204,0.8908439700393613,0.05191212768246427
206,-7.982605355567229,-63.602220910093024,-0.2844267298347409,-27.033256227965108,52.42718446601942,-1.2965237366106208,chg_1m,20,reversion,short_only,195,-6.270386410922713,-55.22930695698432,-0.3018977889095897,-29.006221209561588,51.28205128205128,-1.2483966527731403,-0.3018977889095897
206,-9.875798029823478,-71.7256650084241,-0.3376655730688834,-34.463094279562846,46.601941747572816,-1.7711657790063606,chg_1w,10,momentum,long_short,195,24.43055752554546,1406.7338866849332,3.454263530474884,-17.202610427625796,52.820512820512825,12.890777228640617,-0.3376655730688834
206,20.56087999481402,869.4687102688855,2.7800920150505197,-19.662148392715608,53.398058252427184,11.223886706469145,chg_5m,20,momentum,short_only,195,-4.121193150528823,-40.68298550421427,-0.3407277548522216,-20.998409235159656,49.23076923076923,-1.0403509383334872,-0.3407277548522216
206,9.137163906950963,189.2742965929111,1.5180009687448455,-24.10908196892043,52.9126213592233,7.351222396520833,chg_1w,20,reversion,short_only,195,-7.457447150446095,-61.77912862962409,-0.40164821985008936,-25.939593859745212,47.179487179487175,-1.7338628765121142,-0.40164821985008936
206,21.694923724556237,986.2508627908671,2.567193761136613,-26.826830889634234,54.85436893203883,13.092259805633008,chg_5m,15,momentum,short_only,195,-6.491489337772494,-56.52244301795661,-0.5587271139629909,-26.745743585214765,50.256410256410255,-1.961933125659972,-0.5587271139629909
206,7.811908624445074,149.37385144071365,1.392319722189422,-20.817757174671982,51.94174757281553,5.932472131214747,chg_1w,20,momentum,short_only,195,-5.759047356701707,-52.1021000935039,-0.6911512519540689,-21.104962127528825,51.28205128205128,-2.0158615185875353,-0.6911512519540689
206,-5.58852261585,-50.27332702816602,-0.24590108574497563,-20.098826016097217,50.0,-0.944898313196716,chg_5m,15,reversion,short_only,195,-7.152727130081349,-60.18763960979382,-0.7095686098704768,-26.25341426951302,50.256410256410255,-2.4124302870815826,-0.7095686098704768
206,-9.476493525628138,-70.16564254406809,-0.8017366498763875,-26.2898081087374,43.689320388349515,-3.0620456514537606,chg_1w,15,momentum,long_short,195,-0.5682979212236594,-6.828326843122556,0.2544372685688382,-16.752686562862262,51.28205128205128,0.7482026378526252,-0.8017366498763875
206,-10.44392517773164,-73.81647834065052,-0.8918048561332059,-31.195956604849183,46.116504854368934,-3.5118484436754143,chg_5m,10,reversion,long_short,195,7.426429888535124,143.26892217042567,1.6921288773271463,-12.96835008862569,54.35897435897436,4.539112713497769,-0.8918048561332059
